saledate,productID,sale,volume
20140618,100,3077.3999,1429.965
20140619,100,2832.8301,1399.395
20140620,100,2852.95,1304.332
20140621,100,2984.22,1232.1119
20140622,100,3705.8801,1574.189
20140623,100,2308.99,1015.324
20140624,100,2243.1201,916.94202
20140625,100,3108.3401,1463.031
20140626,100,2580.5801,1250.031
20140627,100,4093.6699,1710.26
20140628,100,3580.3601,1562.068
20140629,100,3448.7,1616.996
20140630,100,2516.53,1063.7419
20140701,100,2294.1001,997.229
20140702,100,3787.45,1371.691
20140703,100,3408.1299,1226.632
20140704,100,3238.71,1042.068
20140705,100,3968.04,1497.897
20140706,100,3259.3801,1216.899
20140707,100,2674.1799,996.245
20140708,100,2736.75,976.16803
20140709,100,3069.6599,1095.546
20140710,100,2914.55,1052.979
20140711,100,471.5,144.843
20140712,100,1066.58,352.77802
20140713,100,4153.71,1423.083
20140714,100,2337.3801,879.255
20140715,100,2108.9099,762.28601
20140716,100,3531.22,1400.167
20140717,100,2644.3899,1001.115
20140718,100,2438.74,931.883
20140719,100,2973.1201,1183.162
20140720,100,3512.6301,1415.16
20140721,100,2711.53,1011.85
20140722,100,2617.3,1085.1021
20140723,100,3378.7,1423.54
20140724,100,2707.21,1034.209
20140725,100,3044.23,1110.401
20140726,100,3492.3501,1350.225
20140727,100,3131.74,1071.61
20140728,100,2550.54,959.409
20140729,100,2515.1599,910.41602
20140730,100,3579.6899,1354.963
20140731,100,2837.01,1030.441
20140801,100,3197.9099,1120.7631
20140802,100,3890.8601,1334.307
20140803,100,3654.6301,1322.296
20140804,100,2200.3999,733.76801
20140805,100,2583.7,978.30499
20140806,100,2777.04,1128.452
20140807,100,2913.5601,968.54401
20140808,100,3925.98,1447.948
20140809,100,4712.3701,1594.075
20140810,100,4476.3101,1456.295
20140811,100,3336.4099,1150.6169
20140812,100,2902.9099,1011.404
20140813,100,3264.7,1209.411
20140814,100,3470.3,1341.905
20140815,100,3847.6499,1649.661
20140816,100,4243.77,1362.593
20140817,100,4020.72,1366.306
20140818,100,3091.3899,1089.12
20140819,100,3651.99,1303.022
20140820,100,3541.6499,1252.167
20140821,100,4703.1699,1742.52
20140822,100,810.94,336.08099
20140823,100,1612.58,582.69403
20140824,100,4485.29,1313.6121
20140825,100,3384.6399,1157.67
20140826,100,3416.2,1138.792
20140827,100,4065.3201,1153.613
20140828,100,3508.6499,1104.048
20140829,100,4263.1602,1088.3979
20140830,100,4831.6699,1176.7321
